annotator,model,faith_grounding,faith_precision,faith_numerical_fidelity,qual_search_bar_realism,qual_specificity,qual_phrasing_economy,qual_focus,qual_search_realism,qual_lexical_distance,qual_conceptual_framing,qual_retrievability,linguistic
human,gemini-3.5-flash,4.367,3.9,4.833,4.529,4.647,4.765,4.882,4.385,4.769,3.846,3.846,4.7
human,gpt-5-mini,4.8,4.5,4.933,4.1,4.05,4.75,4.9,4.5,4.1,4.8,4.6,4.6
human,gpt-5.4-mini,4.833,4.4,4.967,3.667,3.556,4.722,4.944,4.583,4.333,4.25,4.417,4.567
human,grok-4.3,4.5,4.067,5.0,4.125,4.312,4.938,4.938,4.429,4.429,4.143,3.929,4.433
human,qwen3.6-35b-a3b,4.267,4.0,4.967,4.438,4.562,4.938,4.938,4.571,4.714,3.714,3.286,4.6
human,sonnet-4.6,4.3,3.933,4.967,4.667,4.867,4.8,5.0,4.933,4.867,4.333,3.667,4.533
claude,gemini-3.5-flash,4.8,4.867,4.967,3.375,3.312,3.438,4.875,3.429,4.571,4.143,3.286,4.567
claude,gpt-5-mini,5.0,4.7,5.0,2.875,2.188,3.312,4.625,3.286,3.214,3.286,3.429,4.433
claude,gpt-5.4-mini,4.967,4.767,5.0,2.875,2.125,3.312,4.812,3.643,3.357,3.571,3.5,4.467
claude,grok-4.3,4.933,4.8,5.0,3.0,2.625,3.125,4.438,3.929,3.786,4.071,4.0,4.533
claude,qwen3.6-35b-a3b,4.733,4.833,5.0,3.25,2.875,3.75,4.812,3.286,4.786,4.071,3.214,4.633
claude,sonnet-4.6,4.967,4.767,5.0,3.312,3.875,3.375,4.75,4.0,4.214,4.5,4.0,4.6
gpt,gemini-3.5-flash,4.7,4.867,4.967,4.375,4.062,3.812,5.0,3.857,4.429,4.071,3.5,4.8
gpt,gpt-5-mini,4.967,4.8,5.0,3.688,2.875,3.375,4.875,3.857,2.571,3.357,4.214,4.733
gpt,gpt-5.4-mini,4.967,4.867,5.0,3.312,2.812,3.438,5.0,4.357,2.929,3.929,4.214,4.567
gpt,grok-4.3,4.867,4.7,5.0,3.938,3.5,3.312,4.875,4.071,3.357,4.286,4.357,4.633
gpt,qwen3.6-35b-a3b,4.533,4.7,5.0,4.188,3.5,3.875,5.0,3.929,4.429,4.214,3.857,4.8
gpt,sonnet-4.6,4.8,4.633,5.0,4.125,4.75,3.5,5.0,4.429,3.857,4.857,4.429,4.767
