annotator,doc_id,slot,model,mode,rubric_used,rubric_switched,question_language,faith_grounding,faith_precision,faith_numerical_fidelity,qual_search_bar_realism,qual_specificity,qual_phrasing_economy,qual_focus,qual_search_realism,qual_lexical_distance,qual_conceptual_framing,qual_retrievability,linguistic,accept,faith_mean,quality_mean,composite,reason
human,MX-2025009666-A,Q1,gpt-5-mini,technical,technical,0,en,5,5,5,5,5,5,5,,,,,5,yes,5.0,5.0,5.0,
human,MX-2025009666-A,Q2,qwen3.6-35b-a3b,technical,technical,0,en,5,5,5,5,5,5,5,,,,,5,yes,5.0,5.0,5.0,
human,MX-2025009666-A,Q3,sonnet-4.6,technical,technical,0,en,5,5,5,5,5,5,5,,,,,5,yes,5.0,5.0,5.0,
human,MX-2025009666-A,Q4,gemini-3.5-flash,technical,technical,0,en,5,5,5,5,5,5,5,,,,,5,yes,5.0,5.0,5.0,
human,MX-2025009666-A,Q5,gpt-5.4-mini,technical,technical,0,en,5,5,5,4,4,5,5,,,,,5,yes,5.0,4.5,4.8333,
human,MX-2025009666-A,Q6,grok-4.3,technical,technical,0,en,5,5,5,5,5,5,5,,,,,5,yes,5.0,5.0,5.0,
human,WO-2023149795-A1,Q1,gpt-5-mini,technical,technical,0,en,5,5,5,4,4,5,5,,,,,5,yes,5.0,4.5,4.8333,
human,WO-2023149795-A1,Q2,grok-4.3,technical,technical,0,en,5,5,5,4,4,5,5,,,,,5,yes,5.0,4.5,4.8333,
human,WO-2023149795-A1,Q3,gpt-5.4-mini,technical,technical,0,en,5,5,5,4,4,5,5,,,,,5,yes,5.0,4.5,4.8333,
human,WO-2023149795-A1,Q4,gemini-3.5-flash,technical,technical,0,en,5,5,5,4,4,5,5,,,,,5,yes,5.0,4.5,4.8333,
human,WO-2023149795-A1,Q5,qwen3.6-35b-a3b,technical,technical,0,en,5,5,5,5,5,5,5,,,,,5,yes,5.0,5.0,5.0,
human,WO-2023149795-A1,Q6,sonnet-4.6,technical,technical,0,en,5,5,5,5,5,5,5,,,,,5,yes,5.0,5.0,5.0,
human,WO-2025211128-A1,Q1,qwen3.6-35b-a3b,technical,technical,0,en,5,5,5,5,5,5,5,,,,,5,yes,5.0,5.0,5.0,
human,WO-2025211128-A1,Q2,gpt-5-mini,technical,technical,0,en,5,4,5,1,1,5,5,,,,,5,no,4.6667,3.0,4.2222,
human,WO-2025211128-A1,Q3,gemini-3.5-flash,technical,technical,0,en,5,5,5,4,4,5,5,,,,,5,yes,5.0,4.5,4.8333,
human,WO-2025211128-A1,Q4,gpt-5.4-mini,technical,technical,0,en,5,5,5,2,1,5,5,,,,,5,no,5.0,3.25,4.4167,
human,WO-2025211128-A1,Q5,sonnet-4.6,technical,technical,0,en,5,5,5,5,5,5,5,,,,,5,yes,5.0,5.0,5.0,
human,WO-2025211128-A1,Q6,grok-4.3,technical,technical,0,en,5,5,5,4,4,5,5,,,,,5,yes,5.0,4.5,4.8333,
human,WO-2025210445-A1,Q1,gpt-5.4-mini,technical,semantic,1,fr,5,5,5,,,,,3,4,5,5,4,yes,5.0,4.25,4.4167,
human,WO-2025210445-A1,Q2,gpt-5-mini,technical,semantic,1,fr,5,5,5,,,,,4,3,5,5,3,yes,5.0,4.25,4.0833,
human,WO-2025210445-A1,Q3,grok-4.3,technical,semantic,1,fr,5,3,5,,,,,2,2,5,4,5,no,4.3333,3.25,4.1944,
human,WO-2025210445-A1,Q4,qwen3.6-35b-a3b,technical,semantic,1,fr,5,5,5,,,,,3,3,5,5,5,yes,5.0,4.0,4.6667,
human,WO-2025210445-A1,Q5,gemini-3.5-flash,technical,semantic,1,fr,5,5,5,,,,,3,3,5,5,5,yes,5.0,4.0,4.6667,
human,WO-2025210445-A1,Q6,sonnet-4.6,technical,semantic,1,fr,5,5,5,,,,,5,5,5,5,5,yes,5.0,5.0,5.0,
human,MX-2025002756-A,Q1,grok-4.3,technical,technical,0,en,5,5,5,5,5,5,5,,,,,5,yes,5.0,5.0,5.0,
human,MX-2025002756-A,Q2,gemini-3.5-flash,technical,technical,0,en,5,5,5,5,5,5,5,,,,,5,yes,5.0,5.0,5.0,
human,MX-2025002756-A,Q3,gpt-5.4-mini,technical,technical,0,en,5,5,5,5,5,5,5,,,,,4,yes,5.0,5.0,4.6667,
human,MX-2025002756-A,Q4,qwen3.6-35b-a3b,technical,technical,0,en,5,4,5,4,4,5,5,,,,,5,yes,4.6667,4.5,4.7222,
human,MX-2025002756-A,Q5,sonnet-4.6,technical,technical,0,en,5,4,5,5,5,5,5,,,,,5,yes,4.6667,5.0,4.8889,
human,MX-2025002756-A,Q6,gpt-5-mini,technical,technical,0,en,5,5,5,4,4,5,5,,,,,5,yes,5.0,4.5,4.8333,
human,EP-4504821-A1,Q1,sonnet-4.6,technical,technical,0,es,5,5,5,5,5,5,5,,,,,5,yes,5.0,5.0,5.0,
human,EP-4504821-A1,Q2,grok-4.3,technical,technical,0,es,5,5,5,2,2,5,5,,,,,5,yes,5.0,3.5,4.5,
human,EP-4504821-A1,Q3,gemini-3.5-flash,technical,technical,0,es,5,5,5,5,5,5,5,,,,,5,yes,5.0,5.0,5.0,
human,EP-4504821-A1,Q4,gpt-5-mini,technical,technical,0,es,5,5,5,3,3,5,5,,,,,5,yes,5.0,4.0,4.6667,
human,EP-4504821-A1,Q5,gpt-5.4-mini,technical,technical,0,es,5,5,5,2,2,5,5,,,,,4,yes,5.0,3.5,4.1667,
human,EP-4504821-A1,Q6,qwen3.6-35b-a3b,technical,technical,0,es,5,5,5,2,2,5,5,,,,,2,yes,5.0,3.5,3.5,
