annotator,slot,n,keep_rate,composite_mean
human,Q1,30,0.8,4.5352
human,Q2,30,0.8667,4.5583
human,Q3,30,0.8333,4.6185
human,Q4,30,0.7333,4.4778
human,Q5,30,0.8,4.4824
human,Q6,30,0.7667,4.4398
claude,Q1,30,0.7,4.3213
claude,Q2,30,0.7333,4.3611
claude,Q3,30,0.7667,4.3602
claude,Q4,30,0.6333,4.3574
claude,Q5,30,0.6,4.3935
claude,Q6,30,0.7333,4.3426
gpt,Q1,30,0.7,4.625
gpt,Q2,30,0.7333,4.5398
gpt,Q3,30,0.6333,4.4593
gpt,Q4,30,0.4333,4.4574
gpt,Q5,30,0.7333,4.5481
gpt,Q6,30,0.5333,4.4944
