doc_id,model,mode,lang,human_keep,primary_category,secondary_categories,reason
EP-4504821-A1,gpt-5-mini,technical,es,yes,unanchored_generic,,"Answer matches the passage exactly, but asking for the values of k1 with no subject context makes the question useless for retrieval."
EP-4504821-A1,gpt-5.4-mini,technical,es,yes,unanchored_generic,near_duplicate;answer_language_mismatch,Duplicate of Q1 with a mixed-language answer ('1 to 500'); faithful but entirely unanchored and unspecific.
EP-4504821-A1,grok-4.3,technical,es,yes,unanchored_generic,,"Answer is exact, but 'what values can b take' has no anchoring context at all and would match countless patents with a variable b."
EP-4504821-A1,qwen3.6-35b-a3b,technical,es,yes,unanchored_generic,answer_language_mismatch,"Correct answer (in English rather than Spanish), but the question is context-free and cannot narrow retrieval to this document."
EP-4577789-A1,gpt-5-mini,technical,zh,yes,trivial_tautological,,Nearly tautological — asking which duct conducts the cooling gas and answering 'cooling gas duct' yields little discriminative value as a benchmark question.
EP-4584229-A1,gpt-5-mini,technical,es,yes,unanchored_generic,,Faithful but maximally generic: R in R-NR'H without any context would match countless amine patents.
EP-4584229-A1,gpt-5.4-mini,technical,es,yes,unanchored_generic,not_search_like;near_duplicate,"Telegraphic and vague ('rango de carbonos'), no document context, and near-duplicate of Q1/Q4."
EP-4584229-A1,grok-4.3,technical,es,yes,answer_language_mismatch,unanchored_generic,Answer is a Spanish/English mash-up ('un ... con') and the question lacks any discriminative context.
EP-4627127-A1,gpt-5-mini,technical,de,yes,trivial_tautological,unanchored_generic,"Answer 'hohe Festigkeit' is supported, but the question is vacuous (asks for a strength value and gets 'high'), generic, and useless for retrieval."
EP-4627127-A1,gpt-5.4-mini,technical,de,no,unanchored_generic,trivial_tautological,Trivially grounded but entirely non-specific — 'which material is cast?' would match essentially any casting patent and cannot retrieve this document.
EP-4627127-A1,sonnet-4.6,technical,de,yes,answer_language_mismatch,unanchored_generic;near_duplicate,"Grounded, but the answer is in English while the question is German, 'diese' makes the question deictic and not standalone, and it duplicates Q1."
EP-4627881-A1,gemini-3.5-flash,semantic,zh,no,faithfulness,not_search_like;answer_language_mismatch,"The premise ('when a single nozzle's ionised gas beam is insufficient') and the terms nozzle/ionised gas beam are invented and not in the passage, the query is contrived, and the answer awkwardly mixes German terms with Chinese."
