celex,source_article,target_article,rule,expansion,surface_form,source_is_amending,context,verdict,note
32004R2073,8,5,bare_article,list_expansion,Articles 5 and 7,False,"The requested authority shall provide the information referred to in Articles 5 and 7 as quickly as possible, and no later than three months following the date of receipt of the request.",,
32004R2073,2,3,bare_article,single,Article 3(3),False,alf of the competent authority; 4. ‘central liaison office’ means the office which has been designated under Article 3(3) with principal responsibility for contacts with other Member States in the field of administrative cooperatio,,
32005R1308,2,1,bare_article,single,Article 1,False,"1. The tender and the sale provided for in Article 1 shall take place in accordance with Regulation (EC) No 1262/2001, except as otherwise provided by this Regula",,
32006L0112,83,21,bare_article,list_expansion,Articles 21 and 22,False,"rned. In the case of the transactions, to be treated as intra-Community acquisitions of goods, referred to in Articles 21 and 22, the taxable amount shall be the purchase price of the goods or of similar goods or, in the absence of a purc",,
32006L0112,80,170,bare_article,range_expansion,Articles 167 to 171 and Articles 173 to 177,False,"sideration is lower than the open market value and the supplier does not have a full right of deduction under Articles 167 to 171 and Articles 173 to 177 and the supply is subject to an exemption under Articles 132, 135, 136, 371, 375, 376, 377, 378(2), 379(2) or",,
32006L0112,349,344,bare_article,single,Article 344(1),False,"urposes, the right to opt for the taxation of supplies of gold bars or wafers, as referred to in point (1) of Article 344(1), to another taxable person, which would otherwise be exempt pursuant to Article 346. 2. Member States may re",,
32009L0055,10,2,bare_article,list_expansion,"Articles 2, 3 and 5",False,"derogation from Articles 2(2) and (3), 4 and 5(2), but without prejudice to the other provisions contained in Articles 2, 3 and 5, any private individual who acquires by inheritance (causa mortis) the ownership or the beneficial ownership ",,
32009L0055,3,8,bare_article,range_expansion,Articles 7 to 10,False, The introduction of the property may be carried out all at once or in stages within the periods laid down in Articles 7 to 10 respectively.,,
32009L0055,7,3,bare_article,single,Article 3,False,"must be introduced not later than 12 months after the transfer of normal residence. Where, in accordance with Article 3, the property is introduced in stages within that period, only on the occasion of the first introduction may ",,
32009R1223,25,17,bare_article,list_expansion,"Articles 14, 15 and 17",False,"ification requirements referred to in Articles 13 and 16; (f) the restrictions for substances referred to in Articles 14, 15 and 17; (g) the animal testing requirements referred to in Article 18; (h) the labelling requirements referred to ",,
