doc_id,model,mode,lang,human_keep,primary_category,secondary_categories,reason
EP-4504821-A1,gpt-5-mini,technical,es,yes,unanchored_generic,,"Aunque la respuesta enumera fielmente los valores de k1, la consulta aislada carece de contexto químico y difícilmente recuperaría este documento concreto."
EP-4504821-A1,gpt-5.4-mini,technical,es,yes,unanchored_generic,,"El intervalo para b es fiel y exacto, pero la variable b sin fórmula ni contexto químico hace que la consulta sea demasiado genérica para recuperación."
EP-4504821-A1,grok-4.3,technical,es,yes,unanchored_generic,,"La respuesta está plenamente respaldada, pero preguntar solo por los valores de b no distingue esta patente de numerosos documentos técnicos no relacionados."
EP-4504821-A1,qwen3.6-35b-a3b,technical,es,yes,unanchored_generic,,"La respuesta inglesa coincide exactamente con el pasaje, pero la pregunta española es demasiado descontextualizada y genérica para funcionar como consulta de búsqueda."
EP-4584229-A1,grok-4.3,technical,es,yes,answer_language_mismatch,not_search_like,"La pregunta en sí es correcta y enfocada, pero la respuesta mezcla español e inglés de forma gramaticalmente defectuosa, lo que reduce su idoneidad para el benchmark."
EP-4584229-A1,sonnet-4.6,technical,es,yes,not_search_like,answer_language_mismatch,"La respuesta reproduce fielmente la definición completa de R y el contexto es específico, pero el uso innecesario de «amino compounds» rompe la fluidez de una pregunta en español."
EP-4627127-A1,gpt-5-mini,technical,de,yes,unanchored_generic,,"Die hohe Festigkeit ist korrekt belegt, aber die Abfrage ist als Suchanfrage zu generisch und könnte auf sehr viele Aluminiumlegierungspatente zutreffen."
EP-4627127-A1,gpt-5.4-mini,technical,de,no,unanchored_generic,,"Die Antwort ist zwar exakt belegt, doch die kontextlose Frage nach dem gegossenen Werkstoff ist zu allgemein, um das relevante Patent sinnvoll einzugrenzen."
EP-4627881-A1,gemini-3.5-flash,semantic,zh,no,faithfulness,,答案本身忠实于多个装置组成发生单元的原文，但问题虚构了单一喷嘴、电离气体束能效不足和协同运行等未获支持的情境。
EP-4627881-A1,qwen3.6-35b-a3b,semantic,zh,no,faithfulness,,答案准确概括等离子体发生单元的构成，但连续化生产、小型发生器和完整产线均非原文信息，使检索框架失真。
EP-4630021-A1,gpt-5.4-mini,technical,de,yes,unanchored_generic,,"The answer is directly supported and the question is fluent, but the generic reference to „das flüssige Injektionsprodukt“ is too underspecified to retrieve this document reliably."
EP-4633645-A1,gpt-5-mini,technical,fr,no,faithfulness,,"Le passage soutient la réponse, mais la question confond le site de phosphorylation, qui est Ser65, avec le niveau de phosphorylation, qui est élevé."
EP-4633645-A1,qwen3.6-35b-a3b,technical,fr,yes,unanchored_generic,,"La réponse est bien extraite, mais la question omet l'ubiquitine Ser65 et la formule (I), ce qui la rend trop générique pour retrouver spécifiquement ce document."
EP-4633791-A1,gpt-5-mini,semantic,zh,no,faithfulness,trivial_tautological,原文只宣称存在一种新工艺而没有披露工艺内容，因此答案无法回应“有哪些工艺”这一要求且几乎只是重复问题。
EP-4633791-A1,gpt-5.4-mini,semantic,zh,yes,unanchored_generic,,答案准确对应原文的家居护理和个人护理场景，但“这类”缺乏独立指代且问题未提及蛋白质微胶囊，难以有效定位该文献。
