doc_id,slot,model,mode,rubric_used,rubric_switched,question_language,strategy,faith_grounding,faith_precision,faith_numerical_fidelity,qual_search_bar_realism,qual_specificity,qual_phrasing_economy,qual_focus,qual_search_realism,qual_lexical_distance,qual_conceptual_framing,qual_retrievability,linguistic,accept,faith_mean,quality_mean,composite
MX-2025009666-A,q1,gpt-5-mini,technical,technical,0,en,random_existing,5,5,5,5,5,5,5,,,,,5,yes,5.0,5.0,5.0
MX-2025009666-A,q2,qwen3.6-35b-a3b,technical,technical,0,en,random_existing,5,5,5,5,5,5,5,,,,,5,yes,5.0,5.0,5.0
MX-2025009666-A,q3,sonnet-4.6,technical,technical,0,en,random_existing,5,5,5,5,5,5,5,,,,,5,yes,5.0,5.0,5.0
MX-2025009666-A,q4,gemini-3.5-flash,technical,technical,0,en,random_existing,5,5,5,5,5,5,5,,,,,5,yes,5.0,5.0,5.0
MX-2025009666-A,q5,gpt-5.4-mini,technical,technical,0,en,random_existing,5,5,5,4,4,5,5,,,,,5,yes,5.0,4.5,4.8333
MX-2025009666-A,q6,grok-4.3,technical,technical,0,en,random_existing,5,5,5,5,5,5,5,,,,,5,yes,5.0,5.0,5.0
WO-2023149795-A1,q1,gpt-5-mini,technical,technical,0,en,random_existing,5,5,5,4,4,5,5,,,,,5,yes,5.0,4.5,4.8333
WO-2023149795-A1,q2,grok-4.3,technical,technical,0,en,random_existing,5,5,5,4,4,5,5,,,,,5,yes,5.0,4.5,4.8333
WO-2023149795-A1,q3,gpt-5.4-mini,technical,technical,0,en,random_existing,5,5,5,4,4,5,5,,,,,5,yes,5.0,4.5,4.8333
WO-2023149795-A1,q4,gemini-3.5-flash,technical,technical,0,en,random_existing,5,5,5,4,4,5,5,,,,,5,yes,5.0,4.5,4.8333
WO-2023149795-A1,q5,qwen3.6-35b-a3b,technical,technical,0,en,random_existing,5,5,5,5,5,5,5,,,,,5,yes,5.0,5.0,5.0
WO-2023149795-A1,q6,sonnet-4.6,technical,technical,0,en,random_existing,5,5,5,5,5,5,5,,,,,5,yes,5.0,5.0,5.0
WO-2025211128-A1,q1,qwen3.6-35b-a3b,technical,technical,0,en,random_any,5,5,5,5,5,5,5,,,,,5,yes,5.0,5.0,5.0
WO-2025211128-A1,q2,gpt-5-mini,technical,technical,0,en,random_any,5,4,5,1,1,5,5,,,,,5,no,4.6667,3.0,4.2222
WO-2025211128-A1,q3,gemini-3.5-flash,technical,technical,0,en,random_any,5,5,5,4,4,5,5,,,,,5,yes,5.0,4.5,4.8333
WO-2025211128-A1,q4,gpt-5.4-mini,technical,technical,0,en,random_any,5,5,5,2,1,5,5,,,,,5,no,5.0,3.25,4.4167
WO-2025211128-A1,q5,sonnet-4.6,technical,technical,0,en,random_any,5,5,5,5,5,5,5,,,,,5,yes,5.0,5.0,5.0
WO-2025211128-A1,q6,grok-4.3,technical,technical,0,en,random_any,5,5,5,4,4,5,5,,,,,5,yes,5.0,4.5,4.8333
WO-2025210445-A1,q1,gpt-5.4-mini,technical,semantic,1,fr,random_existing,5,5,5,,,,,3,4,5,5,4,yes,5.0,4.25,4.4167
