doc_id,model,category,inherited
MX-2025009666-A,sonnet-4.6,S,0
MX-2025009666-A,gpt-5-mini,P,0
MX-2025009666-A,qwen3.6-35b-a3b,P,0
MX-2025009666-A,gemini-3.5-flash,P,0
MX-2025009666-A,grok-4.3,P,0
MX-2025009666-A,gpt-5.4-mini,V,0
WO-2023149795-A1,qwen3.6-35b-a3b,S,0
WO-2023149795-A1,sonnet-4.6,S,0
WO-2025211128-A1,qwen3.6-35b-a3b,S,0
WO-2025211128-A1,sonnet-4.6,S,0
WO-2025211128-A1,gemini-3.5-flash,P,0
WO-2025211128-A1,grok-4.3,P,0
WO-2025211128-A1,gpt-5-mini,V,0
WO-2025211128-A1,gpt-5.4-mini,V,0
MX-2025002756-A,gemini-3.5-flash,S,0
MX-2025002756-A,grok-4.3,P,0
MX-2025002756-A,qwen3.6-35b-a3b,V,0
MX-2025002756-A,sonnet-4.6,V,0
MX-2025002756-A,gpt-5-mini,V,0
EP-4504821-A1,sonnet-4.6,S,0
EP-4504821-A1,gemini-3.5-flash,S,0
EP-4504821-A1,gpt-5-mini,V,0
EP-4504821-A1,grok-4.3,V,0
EP-4504821-A1,gpt-5.4-mini,V,0
EP-4504821-A1,gpt-5.4-mini,L,0
EP-4504821-A1,qwen3.6-35b-a3b,V,0
EP-4504821-A1,qwen3.6-35b-a3b,L,0
WO-2025211336-A1,gpt-5-mini,S,0
WO-2025211336-A1,gemini-3.5-flash,P,0
WO-2025211336-A1,gemini-3.5-flash,U,0
WO-2025211336-A1,sonnet-4.6,P,0
WO-2025211336-A1,sonnet-4.6,U,0
WO-2025211336-A1,gpt-5.4-mini,M,0
WO-2025211336-A1,grok-4.3,U,0
WO-2025211336-A1,qwen3.6-35b-a3b,U,0
EP-4584229-A1,sonnet-4.6,S,0
EP-4584229-A1,qwen3.6-35b-a3b,P,0
WO-2025054647-A1,gpt-5-mini,S,0
EP-4630021-A1,gpt-5-mini,S,0
EP-4630021-A1,sonnet-4.6,S,0
EP-4630021-A1,qwen3.6-35b-a3b,S,0
EP-4630021-A1,gemini-3.5-flash,V,0
EP-4627881-A1,gpt-5.4-mini,S,0
MX-2025007206-A,qwen3.6-35b-a3b,S,0
MX-2025007206-A,gpt-5.4-mini,S,0
MX-2025007206-A,grok-4.3,S,0
MX-2025007206-A,gpt-5-mini,V,0
MX-2025007206-A,gemini-3.5-flash,U,0
MX-2025007206-A,sonnet-4.6,U,0
MX-2025010190-A,grok-4.3,S,0
WO-2025207810-A1,gpt-5-mini,S,0
WO-2025207810-A1,qwen3.6-35b-a3b,S,0
WO-2025207810-A1,sonnet-4.6,L,0
EP-4577789-A1,gpt-5.4-mini,S,0
EP-4577789-A1,qwen3.6-35b-a3b,S,0
EP-4577789-A1,gemini-3.5-flash,P,0
EP-4577789-A1,sonnet-4.6,P,0
WO-2025212655-A1,sonnet-4.6,S,0
WO-2025212655-A1,gpt-5-mini,S,0
WO-2025212655-A1,gpt-5.4-mini,S,0
MX-2025006624-A,gpt-5-mini,S,0
MX-2025006624-A,gemini-3.5-flash,S,0
WO-2025187661-A8,gpt-5-mini,S,0
WO-2025187661-A8,sonnet-4.6,P,0
WO-2025187661-A8,sonnet-4.6,V,0
WO-2025187661-A8,gemini-3.5-flash,M,0
WO-2025187661-A8,grok-4.3,M,0
WO-2025187661-A8,gpt-5.4-mini,M,0
WO-2025187661-A8,qwen3.6-35b-a3b,U,0
WO-2025187661-A8,qwen3.6-35b-a3b,M,0
MX-2025002756-A,gpt-5.4-mini,P,1
EP-4584229-A1,gpt-5.4-mini,P,1
EP-4584229-A1,gemini-3.5-flash,P,1
WO-2025207810-A1,gpt-5.4-mini,S,1
WO-2025207810-A1,grok-4.3,S,1
