doc_id,model,mode,lang,question,answer,human_slot,human_keep,human_faith,human_quality,human_linguistic,human_composite,human_reason,claude_slot,claude_keep,claude_faith,claude_quality,claude_linguistic,claude_composite,claude_reason,gpt_slot,gpt_keep,gpt_faith,gpt_quality,gpt_linguistic,gpt_composite,gpt_reason,n_keep_votes,majority_keep
EP-4504821-A1,gemini-3.5-flash,technical,es,¿Cuál es el rango de átomos de carbono permitido para el grupo R 2 bivalente?,3 to 18,Q3,yes,5.0,5.0,5,5.0,,Q6,yes,5.0,3.75,4,4.25,"Correct 3-18 range and some anchoring via 'divalent R2 group', though it lacks the organopolysiloxane context that would make it more discriminative.",Q3,yes,4.67,4.0,5,4.56,"La consulta identifica el grupo R2 bivalente y el intervalo correcto, aunque la respuesta omite la unidad explícita de átomos de carbono y la pregunta podría aportar más contexto documental.",3,yes
EP-4504821-A1,gpt-5-mini,technical,es,¿Qué valores puede tener k1?,"k1 is 0, 1, 2 or 3",Q4,yes,5.0,4.0,5,4.67,,Q5,no,5.0,2.75,5,4.25,"Answer matches the passage exactly, but asking for the values of k1 with no subject context makes the question useless for retrieval.",Q2,no,5.0,3.0,5,4.33,"Aunque la respuesta enumera fielmente los valores de k1, la consulta aislada carece de contexto químico y difícilmente recuperaría este documento concreto.",1,no
EP-4504821-A1,gpt-5.4-mini,technical,es,¿Qué valores puede tomar b?,0 o un número entero de 1 to 500,Q5,yes,5.0,3.5,4,4.17,,Q4,no,5.0,2.75,5,4.25,Duplicate of Q1 with a mixed-language answer ('1 to 500'); faithful but entirely unanchored and unspecific.,Q4,no,5.0,3.0,5,4.33,"El intervalo para b es fiel y exacto, pero la variable b sin fórmula ni contexto químico hace que la consulta sea demasiado genérica para recuperación.",1,no
EP-4504821-A1,grok-4.3,technical,es,¿Qué valores puede tomar b?,0 o un entero de 1 a 500,Q2,yes,5.0,3.5,5,4.5,,Q1,no,5.0,2.75,5,4.25,"Answer is exact, but 'what values can b take' has no anchoring context at all and would match countless patents with a variable b.",Q5,no,5.0,3.0,5,4.33,"La respuesta está plenamente respaldada, pero preguntar solo por los valores de b no distingue esta patente de numerosos documentos técnicos no relacionados.",1,no
EP-4504821-A1,qwen3.6-35b-a3b,technical,es,¿Cuáles son los valores permitidos para b?,0 or an integer from 1 to 500,Q6,yes,5.0,3.5,2,3.5,,Q2,no,5.0,2.75,5,4.25,"Correct answer (in English rather than Spanish), but the question is context-free and cannot narrow retrieval to this document.",Q6,no,5.0,3.0,5,4.33,"La respuesta inglesa coincide exactamente con el pasaje, pero la pregunta española es demasiado descontextualizada y genérica para funcionar como consulta de búsqueda.",1,no
EP-4504821-A1,sonnet-4.6,technical,es,¿Cuántos átomos de carbono puede tener el resto R2 en la fórmula de los organopolysiloxanos preentrecruzados?,3 to 18 carbon atoms,Q1,yes,5.0,5.0,5,5.0,,Q3,yes,5.0,4.25,4,4.42,"Accurate 3-18 range, anchored to R2 in pre-crosslinked organopolysiloxanes, which makes it a plausible and reasonably specific query despite the Spanish-English term mix in the question.",Q1,yes,5.0,4.75,5,4.92,"La pregunta es clara, específica al contexto de los organopolisiloxanos preentrecruzados y su respuesta reproduce exactamente el intervalo de 3 a 18 átomos de carbono.",3,yes
EP-4577789-A1,gemini-3.5-flash,technical,zh,冷却气体经由管道被引导至并流蓄热式竖窑的哪个区域？,预热区 (21),Q3,yes,5.0,5.0,5,5.0,,Q2,yes,5.0,4.0,5,4.67,"Clean single-fact question that names the PFR shaft kiln, with a minimal exact answer (预热区 (21)).",Q5,yes,5.0,4.25,5,4.75,问题以并流蓄热式竖窑为限定并只询问气体的目的区域，答案“预热区 (21)”准确、简洁且具有较强检索特异性。,3,yes
EP-4577789-A1,gpt-5-mini,technical,zh,冷却气体由哪个管道引导至预热区？,冷却气体管道 (44),Q1,yes,5.0,4.5,5,4.83,,Q5,no,5.0,3.25,5,4.42,Nearly tautological — asking which duct conducts the cooling gas and answering 'cooling gas duct' yields little discriminative value as a benchmark question.,Q2,yes,5.0,3.75,5,4.58,答案“冷却气体管道 (44)”与原文完全一致，问题简洁明确，但单独作为检索词时对具体专利的限定较弱。,2,yes
EP-4577789-A1,gpt-5.4-mini,technical,zh,冷却气体管道把冷却气体从哪里引导到哪里？,从冷却区 (22) 引导至预热区 (21),Q4,yes,5.0,5.0,5,5.0,,Q6,yes,5.0,3.5,4,4.17,"Correct and paraphrased, but colloquial '从哪里...到哪里' phrasing is less search-like and it is effectively a duplicate of Q3.",Q3,yes,5.0,3.75,5,4.58,答案准确复现冷却气体从冷却区22到预热区21的流向，问题流畅且只询问一个管道关系，但缺少设备类型限定。,3,yes
EP-4577789-A1,grok-4.3,technical,zh,冷却气体如何从冷却区引导至预热区？,经由冷气管道 (44) 被引导至预热区 (21),Q2,yes,5.0,4.5,5,4.83,,Q1,yes,4.67,3.0,5,4.22,"Answer is lifted directly from the ZH abstract with slight redundancy (repeats the destination), and the question largely reuses source wording without naming the kiln type.",Q1,yes,5.0,3.75,5,4.58,答案直接且准确地说明冷却气体经由编号44的冷气管道进入预热区，问题自然且聚焦，但未提及竖窑，检索特异性一般。,3,yes
EP-4577789-A1,qwen3.6-35b-a3b,technical,zh,冷却气体管道连接竖窑内的哪两个区域？,从冷却区 (22) 引导至预热区 (21),Q6,yes,5.0,5.0,5,5.0,,Q3,yes,5.0,3.75,5,4.58,"Well-paraphrased query about the duct's endpoints; answer is exact, though it asks for a pair rather than a single item and lacks kiln-type context.",Q4,yes,4.67,4.25,5,4.64,两个区域及编号均受原文支持，且“连接”是对管道输送关系的合理概括，不过原文更严格地表述为将气体从一区引导至另一区。,3,yes
EP-4577789-A1,sonnet-4.6,technical,zh,PFR竖窑中废气通过哪个出口排出？,废气经由排气出口 (6) 从其中一个竖井 (2) 排出,Q5,yes,5.0,5.0,5,5.0,,Q4,yes,4.67,3.75,5,4.47,"Grounded and the only question on a different fact (waste gas outlet), but the answer adds the 'from one of the shafts' clause and the fact itself is generic to shaft kilns.",Q6,yes,4.67,4.75,5,4.81,排气出口6及废气从其中一个竖井排出的陈述均直接受原文支持，但答案包含了超出“哪个出口”所需的少量附加信息。,3,yes
EP-4584229-A1,gemini-3.5-flash,technical,es,¿Cuántos átomos de carbono tiene el grupo hidrocarbonado R en la fórmula R-NR'H?,1 to 20,Q2,yes,5.0,5.0,4,4.67,,Q1,yes,5.0,3.5,5,4.5,"Answer exact and focused, but the generic R-NR'H carbon range is weakly discriminative across patents.",Q1,yes,5.0,4.25,5,4.75,"La pregunta es clara y concisa, y el rango «1 to 20» coincide exactamente con el pasaje, aunque la fórmula por sí sola aporta una especificidad moderada.",3,yes
EP-4584229-A1,gpt-5-mini,technical,es,¿Qué representa R en la fórmula R-NR'H?,a linear or branched and optionally substituted hydrocarbon group with 1 to 20 carbon atoms,Q6,yes,5.0,4.5,4,4.5,,Q6,no,5.0,3.0,5,4.33,Faithful but maximally generic: R in R-NR'H without any context would match countless amine patents.,Q5,yes,5.0,4.25,5,4.75,"La pregunta es fluida y solicita una única definición plenamente respaldada, aunque carece del contexto de las composiciones de dispersión y por ello tiene especificidad moderada.",2,yes
EP-4584229-A1,gpt-5.4-mini,technical,es,¿Qué rango de carbonos tiene R en R-NR'H?,1 to 20 carbon atoms,Q1,yes,5.0,4.5,4,4.5,,Q3,no,5.0,3.75,3,3.92,"Telegraphic and vague ('rango de carbonos'), no document context, and near-duplicate of Q1/Q4.",Q2,yes,5.0,3.75,4,4.25,"El rango está fielmente respaldado y la consulta se centra en un solo dato, aunque «rango de carbonos» es menos preciso que «rango de átomos de carbono».",2,yes
EP-4584229-A1,grok-4.3,technical,es,¿Qué representa el resto R en la fórmula R-NR'H?,"un linear or branched, optionally substituted hydrocarbon group con 1 to 20 carbon atoms",Q5,yes,5.0,4.5,3,4.17,,Q5,no,5.0,3.25,4,4.08,Answer is a Spanish/English mash-up ('un ... con') and the question lacks any discriminative context.,Q6,no,5.0,4.25,5,4.75,"La pregunta en sí es correcta y enfocada, pero la respuesta mezcla español e inglés de forma gramaticalmente defectuosa, lo que reduce su idoneidad para el benchmark.",1,no
EP-4584229-A1,qwen3.6-35b-a3b,technical,es,¿Cuál es el rango de átomos de carbono definido para el grupo R en la fórmula R-NR'H?,1 to 20 carbon atoms,Q3,yes,5.0,5.0,5,5.0,,Q4,yes,5.0,3.5,5,4.5,Faithful and well-formed but generic and redundant with Q1.,Q4,yes,5.0,4.75,5,4.92,"Es una consulta técnica natural, económica y bien enfocada cuya respuesta reproduce exactamente el intervalo de 1 a 20 átomos de carbono.",3,yes
