model,doc_id,slot,mode,question_language,accept,faith_mean,quality_mean,rubric_used,linguistic,question,answer
gemini-3.5-flash,EP-4504821-A1,q3,technical,es,yes,5.0,5.0,technical,5,¿Cuál es el rango de átomos de carbono permitido para el grupo R 2 bivalente?,3 to 18
gemini-3.5-flash,EP-4577789-A1,q3,technical,zh,yes,5.0,5.0,technical,5,冷却气体经由管道被引导至并流蓄热式竖窑的哪个区域？,预热区 (21)
gemini-3.5-flash,EP-4584229-A1,q2,technical,es,yes,5.0,5.0,technical,4,¿Cuántos átomos de carbono tiene el grupo hidrocarbonado R en la fórmula R-NR'H?,1 to 20
gemini-3.5-flash,EP-4627127-A1,q6,technical,de,yes,5.0,5.0,technical,5,"Für welche Art von Komponenten ist die formbare, korrosionsbeständige Aluminiumlegierung vorgesehen?",Strukturbauteile
gemini-3.5-flash,EP-4627881-A1,q2,semantic,zh,no,2.6667,3.5,semantic,5,当单一喷嘴所提供的电离气体束能效不足时，可以采用什么方案将多套发生装置集结协同运作？,"Plasmaerzeugungseinrichtung (100) 包含多个 Vorrichtungen (10, 10a, 10b)"
gemini-3.5-flash,EP-4630021-A1,q1,technical,de,yes,4.6667,4.5,technical,5,Aus welchen Ausgangsstoffen werden pferdespezifische therapeutische Zusammensetzungen hergestellt?,aus der Plazenta gewonnenen Materialien
gemini-3.5-flash,EP-4633645-A1,q4,technical,fr,yes,4.0,3.0,technical,3,Quel état de l'ubiquitine Ser65 caractérise les pathologies neurodégénératives ciblées ?,un niveau élevé de phosphorylation de l'ubiquitine Ser65
gemini-3.5-flash,EP-4633791-A1,q2,semantic,zh,yes,4.0,4.0,semantic,3,这种微包裹体通常适用于哪些类型的加香日化产品？,家庭护理或个人护理产品形式的加香消费品
gemini-3.5-flash,EP-4634436-A1,q5,semantic,fr,yes,4.6667,5.0,semantic,5,Quel protocole de validation applique-t-on suite à la substitution de composants détériorés pour garantir l'absence de pannes résiduelles ?,l'exécution d'un deuxième test pour évaluer s'il reste au moins une autre cellule endommagée
gemini-3.5-flash,MX-2025002756-A,q2,technical,en,yes,5.0,5.0,technical,5,What is the copper weight percent range in a lead-free brass alloy containing manganese and silicon?,59 to 62 wt %
gemini-3.5-flash,MX-2025004470-A,q3,semantic,en,no,3.6667,3.75,semantic,5,How does the reaction vessel design counteract temperature drop during the endothermic conversion process?,heating the heated paraffinic feedstock in the first dehydrogenation reactor using the at least one first electrical heating element
gemini-3.5-flash,MX-2025005046-A,q1,semantic,de,yes,4.0,4.5,semantic,5,Wie kann die Verweilzeit und Konzentration von aktivem Sauerstoff bei einer physikalischen Desinfektionsmethode künstlich verlängert und erhöht werden?,"Das doppelte Magnetringpaar ist so konfiguriert, dass es die lokalen Magnetfelder intensiviert, die Anzahl und die mittlere Lebensdauer der radikalisierten Sauerstoffmoleküle erhöht und die Wasserreinigung verbessert."
gemini-3.5-flash,MX-2025006624-A,q4,semantic,fr,yes,5.0,4.75,technical,5,Quels réactifs sont mis en œuvre pour synthétiser le monomère à base de polyéther-acrylate d'origine naturelle utilisé dans la formulation ?,"une réaction de condensation de biobased 1,3 poly(trimethylene ether) glycol et un (meth)acrylate compound choisi dans le groupe constitué par (meth)acrylic acid, (meth)acryloyl chloride, et /ou alkylesters de ceux-ci"
gemini-3.5-flash,MX-2025007206-A,q4,technical,de,no,2.6667,5.0,technical,5,Über welcher Lagertemperatur ermöglichen die rAAV-Formulierungen eine langfristige Haltbarkeit?,-80°C
gemini-3.5-flash,MX-2025007510-A,q6,semantic,es,yes,3.3333,3.75,technical,4,¿Qué trastorno circulatorio se pretende tratar disminuyendo la cantidad de tomas diarias de la terapia?,tratar hipertensión pulmonar con frecuencia de dosificación reducida
gemini-3.5-flash,MX-2025009131-A,q4,technical,zh,yes,5.0,5.0,technical,2,在柔性泡沫生产工艺中，使用什么对高压釜腔或模腔进行加压？,supercritical fluid
gemini-3.5-flash,MX-2025009666-A,q4,technical,en,yes,5.0,5.0,technical,5,Where are the gas outlets located on the dump tank vessel?,at a top of the vessel
gemini-3.5-flash,MX-2025010190-A,q1,technical,en,yes,5.0,5.0,technical,5,What encodes the recombinant polypeptides with a nutritionally complete amino acid profile?,polynucleotides
gemini-3.5-flash,WO-2022005333-A1,q4,semantic,en,no,3.6667,4.0,semantic,5,How can chemical processors salvage low-demand refinery byproducts containing olefins for fuel synthesis?,"produce gasolines using low-demand olefin-containing fractions, such as dry gas from catalytic cracking, a propane-propylene fraction or a butane-butylene fraction"
gemini-3.5-flash,WO-2023149795-A1,q4,technical,en,yes,5.0,4.5,technical,5,What chemical is used as a protein synthesis stimulator in the second nutrient medium?,zinc acetate
gemini-3.5-flash,WO-2025054647-A1,q5,semantic,es,no,3.3333,4.0,semantic,5,¿Cómo se resuelven las tensiones mecánicas por dilatación y se asegura la permeabilidad al gas en acumuladores térmicos que operan en condiciones térmicas extremas?,"la matriz presenta un coeficiente de difusión de gas para el gas de 2.25*10 -9 m 2 /s a 4.25*10 -9 m 2 /s en un rango de temperatura de -30°C a 300°C, y una expansión máxima ε en el rango de la ley de Hooke de 25% a 300%"
gemini-3.5-flash,WO-2025177605-A1,q4,technical,fr,yes,5.0,5.0,technical,5,Quelle méthode de soudage est utilisée pour assembler le matériau de base de la cornue ?,soudage au plasma
gemini-3.5-flash,WO-2025187661-A8,q3,semantic,es,yes,4.0,4.5,semantic,5,¿Cómo se puede resolver el reto de la aparición de imperfecciones físicas o rebabas en polímeros de ingeniería cuando se someten a procesos de recuperación y reprocesamiento?,"una composición de resina de poly(arylene sulfide) que, durante el reciclaje, puede evitar la formación de rebabas"
gemini-3.5-flash,WO-2025202347-A1,q5,semantic,de,yes,5.0,5.0,semantic,5,"Welche klinischen Folgeerscheinungen einer Bindehautreizung, die weder auf Allergene noch auf Viren zurückzuführen ist, lassen sich behandeln?","Spätkomplikationen einer nicht-viralen und nicht-allergischen Konjunktivitis, ausgewählt aus der Gruppe bestehend aus Hornhauttrübungen, subepithelialen Infiltraten und der Bildung von okulären Pseudomembranen"
gemini-3.5-flash,WO-2025207810-A1,q4,technical,zh,yes,4.3333,5.0,technical,5,纠错条形码核苷酸序列是基于什么进行设计的？,Hamming codes
gemini-3.5-flash,WO-2025210445-A1,q5,technical,fr,yes,5.0,4.0,semantic,5,Quelle plage de tension est plus préférentiellement appliquée entre les électrodes ?,entre 1 V et 20 V
gemini-3.5-flash,WO-2025211128-A1,q3,technical,en,yes,5.0,4.5,technical,5,What is the recess depth from the surface of the silicon member?,0.5 μm or less
